Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
ETR,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
EXC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
EXPD,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
EXPE,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
F,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
FAST,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
FB,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
FCX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
FDX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
FFIV,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
FISV,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
FOSL,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
FOX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
FOXA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
FWONA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
GD,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
GE,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
GILD,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
GM,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
GOLD,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
GOOG,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
GOOGL,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
GRMN,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
GS,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
HAL,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
HD,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
HIG,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
HON,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
HPE,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
HPQ,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
HSIC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
IBM,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
ILMN,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
INTC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
INTU,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
IP,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
ISRG,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
JCI,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
JNJ,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
JPM,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
KHC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
KLAC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
KMI,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
KO,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
LB,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
LBTYA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
LBTYK,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
LLY,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
LMT,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
LOW,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
LRCX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
LVNTA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
MA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
MAR,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
MAT,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
MCD,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
MCHP,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
MDLZ,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
MDT,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
MET,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
MMM,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
MNST,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
MO,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
MON,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
MRK,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
MS,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
MSFT,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
MU,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
MXIM,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
MYL,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
NEE,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
NFLX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
NKE,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
NOV,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
NSC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
NTAP,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
NUAN,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
NVDA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
NWSA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
NXPI,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
ORCL,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
ORLY,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
OXY,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
PAYX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
PCAR,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
PCLN,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
PEP,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
PFE,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
PG,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
PM,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
PSX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
PYPL,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
QCOM,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
QVCA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
REGN,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
RF,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
ROK,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
ROST,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
RTN,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
S,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
SBAC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
SBUX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
SHLD,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
SIRI,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
SLB,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
SO,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
SPG,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
SPLS,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
SRCL,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
STX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
SYMC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
T,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
TGT,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
TIME,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
TRIP,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
TSCO,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
TSLA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
TWX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
TXN,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
UNH,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
UNP,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
UPS,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
USB,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
USD,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
UTX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
V,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
VEON,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
VIAB,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
VOD,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
VRSK,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
VRTX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
VZ,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
WBA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
WDC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
WFC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
WFM,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
WMB,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
WMT,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
WPG,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
WY,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
WYNN,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
XLNX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
XOM,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
XRAY,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
XRX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
YHOO,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
AABA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
FWONK,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
DWDP,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
CSC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
LLTC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
LMCA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
VIP,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
EMC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
TYC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
SNDK,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
BRCM,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
GMCR,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
ALTR,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
CMCSK,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
SIAL,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
ACT,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
CTRX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
DTV,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
KRFT,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
COV,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
HSH,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
LINTA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
WAG,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
LMCK,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
DELL,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
EKDKQ,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
LTD,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
NYX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
HNZ,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
NWS,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
WPI,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
LMCAD,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
